MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,ZeroCrossings_1,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7
-535.67377,37.625282,15.154785,7.963318,13.973074,14.46847,5.6478662,-0.5035,1.0172546,3.4273973,2.7098584,2.1295347,3.289568,3.2685409,0.584352,-2.4432526,-2.966514,-0.24437332,3.7524924,5.748992,33.664486,33.664486,33.664486,33.664486,33.664486,-3.4077163,-1.7378513,-1.3972923,-1.3615991,-0.74859893,-0.094852835,-0.14659536,-0.61098385,-0.7261165,-0.3529191,0.088165134,0.088165134,0.088165134,0.088165134,0.088165134,0.5099838,0.6434457,0.71673167,0.5383096,0.6472514,1.0,0.6066934,0.5937187,0.6335926,0.35044378,0.34618765,0.5103182,0.12353515625,11.019789334052312,7.237030624357663,12.772219963265714,11.651933370122064,19.243235758126538,15.728461884257946,54.81613277808903
-536.54517,38.708374,18.748735,9.263775,11.537157,11.728498,4.2064123,-2.2493906,-1.1559032,1.9522142,0.6094295,-2.1338754,-0.8536243,2.0203025,0.7168391,-3.6118174,-4.7040377,-1.1122925,2.483157,3.1269088,33.201065,33.201065,33.201065,33.201065,33.201065,-3.9515939,-2.230932,-1.7214777,-1.5690435,-0.86694217,-0.07717909,-0.019305956,-0.44192725,-0.49306417,-0.046221472,0.32279024,0.32279024,0.32279024,0.32279024,0.32279024,0.36026257,0.5742969,0.5124303,0.31691357,0.6207473,1.0,0.64251846,0.5614356,0.58871555,0.38274586,0.358507,0.4321887,0.1103515625,8.398612881795382,10.84608240738873,15.22341631986942,14.775931902994435,18.05861260801022,14.424996427060897,53.5074657153652
-539.7859,36.982452,21.131416,11.058132,10.2517395,10.857149,6.578231,0.36349177,-1.9232553,-0.16200122,1.251637,0.44443607,-0.20980449,1.1537678,2.7927651,2.0430713,-0.8091849,-2.8028774,-1.89166,0.7974,33.538105,33.538105,33.538105,33.538105,33.538105,-4.046744,-2.4670527,-1.6665813,-1.4043833,-0.9306808,-0.14562826,0.3672746,0.24771813,-0.17576884,-0.37707642,-0.25248253,-0.25248253,-0.25248253,-0.25248253,-0.25248253,0.5362161,0.5646667,0.52019197,0.44019923,0.7124892,1.0,0.61625016,0.55575794,0.44892508,0.5399382,0.77621996,0.6153159,0.08837890625,7.8573205385251175,10.556436678296794,20.04444242382078,15.178362447457145,14.666835296686585,15.209915623314227,53.57848498984875
-539.3841,35.449642,15.505797,4.1032043,7.410157,14.680939,13.495272,4.302958,-2.82801,-2.2538195,1.4933928,1.74409,-1.3030071,-2.3679702,0.610453,3.7632632,2.9772995,-0.70187277,-2.9252288,-1.6759042,34.32235,34.32235,34.32235,34.32235,34.32235,-3.3221774,-1.7662501,-1.2896591,-1.7370623,-1.88978,-1.0750691,0.08553181,0.58990914,0.27685523,-0.1720088,-0.21412668,-0.21412668,-0.21412668,-0.21412668,-0.21412668,0.30464414,0.30329025,0.4961947,0.5765093,0.7036657,1.0,0.5827751,0.34547046,0.3203239,0.5760455,0.800024,0.4677888,0.095703125,13.991082600787003,14.028646670826546,12.521688765598192,13.826780795408874,14.191627965089094,14.766089101385429,53.384898767247606
-542.5241,31.554104,12.429247,1.0378203,4.079435,12.222212,13.025473,5.252304,-1.9954438,-1.9208331,2.387558,3.6349294,0.092425704,-3.2563229,-2.193471,1.406468,2.7758718,0.6051843,-1.9353281,-1.8839324,34.926434,34.926434,34.926434,34.926434,34.926434,-2.6633136,-1.1360397,-0.6332367,-1.1693141,-1.6594172,-1.2778358,-0.34905896,0.21689759,0.075436525,-0.27251828,-0.25777254,-0.25777254,-0.25777254,-0.25777254,-0.25777254,0.38103095,0.45429888,0.7609534,0.7235822,0.7984859,1.0,0.5003771,0.3057599,0.18195258,0.33425823,0.5709781,0.5055462,0.09912109375,11.428768686516843,8.952439134130845,10.886044189632429,12.373092722749579,14.457386218220368,13.961461803012938,52.776917037779846
-553.90784,21.36774,13.80024,8.0982895,6.8301096,7.481379,6.4467154,3.3558922,0.7226428,0.28344595,1.1222677,1.4939241,1.223232,1.4128315,2.36978,2.963716,2.209533,0.6453774,-0.40995368,-0.5257466,35.819374,35.819374,35.819374,35.819374,35.819374,-2.2239692,-1.5082806,-1.0610155,-0.9018536,-0.7211492,-0.33208779,0.09554071,0.27337173,0.14659423,-0.085850656,-0.24455659,-0.24455659,-0.24455659,-0.24455659,-0.24455659,0.47066286,0.5362475,0.68538284,0.6456335,0.7561225,1.0,0.7437498,0.339806,0.26550093,0.38411874,0.5774945,0.64760673,0.09912109375,7.296401609081197,14.830417272611484,12.686671845771018,10.062777144497655,14.410523365679936,14.633711832914614,51.41965640291826
-554.9628,22.259491,19.257156,15.518717,11.924066,8.698597,5.684697,2.8984609,0.7250946,-0.40630144,-0.43989706,0.25881118,1.208319,2.083882,2.7165637,2.9739854,2.7864199,2.2900226,1.8056558,1.5457909,35.511726,35.511726,35.511726,35.511726,35.511726,-2.9623206,-2.5793557,-2.0216818,-1.395605,-0.77220476,-0.21141182,0.2150848,0.44206923,0.456714,0.31870252,0.12370111,0.12370111,0.12370111,0.12370111,0.12370111,0.60289824,0.6280399,0.6213765,0.7272471,0.98607045,1.0,0.7065121,0.530818,0.5673147,0.7797339,0.6248587,0.5831527,0.10888671875,14.570433937596878,7.560962462722307,12.101801141681216,12.045605922384887,14.304000731450934,13.829371890831272,51.334188979657895
-554.46655,23.019772,20.142746,16.465996,12.738976,9.184153,5.812125,2.826919,0.5922641,-0.718262,-1.2606485,-1.2674265,-0.7897875,0.1788849,1.3739064,2.2385485,2.3523831,1.8373117,1.2334117,0.95392716,35.395226,35.395226,35.395226,35.395226,35.395226,-3.1301432,-2.79695,-2.2992876,-1.719342,-1.0978069,-0.4835041,0.03760999,0.37710547,0.50395054,0.46057433,0.32083905,0.32083905,0.32083905,0.32083905,0.32083905,0.8164089,0.73685783,0.6599183,0.6911501,0.9788559,0.7537561,0.7057285,1.0,0.9037854,0.91219234,0.93978417,0.86471146,0.09716796875,11.577943840600128,5.5080482246321605,13.355247442431203,12.319527739963434,14.384719413708837,14.540651274116364,51.6186972704264
-483.7589,113.10516,84.27463,47.717438,13.792466,-11.057531,-24.904594,-28.727694,-25.05893,-17.510155,-10.07101,-5.619995,-4.712726,-5.898569,-7.271449,-7.7660465,-7.321533,-6.4201717,-5.813364,-6.379936,18.869465,18.869465,18.869465,18.869465,18.869465,-17.367487,-11.140638,-4.9666624,-0.28039086,2.3735795,3.1933753,2.7631748,1.7583743,0.7626256,0.12574935,-0.12391613,-0.12391613,-0.12391613,-0.12391613,-0.12391613,0.3864686,0.3061268,0.47718155,0.8098152,1.0,0.73827225,0.333958,0.11027648,0.059294585,0.18761663,0.43005493,0.6134286,0.078125,31.974156503674912,9.584122462357321,19.98712178026753,15.72118506336475,14.288896555068881,15.768795311309816,51.95687811790143
-389.61536,160.26982,103.11094,40.156857,-48.325745,-29.306015,-30.239254,-2.321902,-11.519303,-14.357917,-7.7560034,-31.302181,-12.442389,-10.942813,5.7452793,-5.3088055,1.2300082,-1.1786481,-37.772934,-0.4918666,11.474096,11.474096,11.474096,11.474096,11.474096,-18.487879,-8.440251,-1.9251797,2.8412569,1.210769,1.6547494,0.6998326,2.0917752,2.497492,0.054694634,1.0377114,1.0377114,1.0377114,1.0377114,1.0377114,0.09511683,0.092029124,0.39620623,1.0,0.84731954,0.22680609,0.055778727,0.021423364,0.028323542,0.26950082,0.59089154,0.3178244,0.0712890625,29.91863913963786,19.70126950470127,18.80410816570066,27.923372989809526,20.372183891883214,26.82636230283227,57.51692521676983
